sex,sexpref,age,alex,alexander,alfred,ambroz,arnold,arpad,bedrich,blazej,bretislav,cestmir,ctirad,dalimil,david,frederik,gabriel,herbert,herman,hynek,igor,ivan,ivan2,jan,josef,justin,kamil,kazimir,kristian,lumir,mike,mikulas,milos,miroslav,miroslav1,mojmir,oldrich,oleg,patrik,petrb,pravoslav,rehor,robin,rudolf,slavomir,stefan,svatopluk,tomas,tomasi,vincent,vladislav,vlastimil
male,women,29.7,5,5,2,4,7,7,4,7,3,7,7,3,3,2,7,5,6,4,7,4,1,6,5,2,5,3,7,6,3,3,4,3,1,4,7,3,7,2,3,3,3,6,1,3,3,4,1,7,4,7
male,women,18.6,3,6,3,3,5,4,4,4,6,6,6,3,5,3,4,5,4,4,6,5,6,6,3,2,3,1,2,6,7,5,3,3,3,7,5,6,4,5,3,2,5,5,3,4,5,5,4,4,5,5
male,women,28,2,3,3,5,1,6,3,5,3,5,4,6,4,4,6,4,2,3,3,3,6,4,4,3,3,2,1,6,6,4,6,2,4,5,1,5,2,4,1,2,3,4,5,5,5,4,1,3,4,5
male,women,23.9,2,1,2,1,1,1,1,6,5,1,4,2,6,7,1,2,3,3,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,3,5,1,1,1,2,1,4,1,2,7,1,1,1,1,1,2
male,women,20.9,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,7,4,4,4,3,4,4,4,4,4,4,4
female,men,19.1,4,5,3,4,3,4,4,6,4,6,5,3,4,4,3,5,3,4,5,3,5,2,4,3,3,3,3,5,6,5,2,2,3,3,5,4,3,5,3,3,3,5,4,4,5,3,3,2,4,5
female,men,20.4,4,6,3,4,2,4,2,3,4,4,4,5,4,3,4,3,2,4,4,3,4,4,4,3,3,3,1,4,3,4,4,2,2,3,3,4,5,6,4,4,4,5,3,4,4,4,5,4,4,4
female,men,20.5,5,4,6,6,6,6,6,4,6,5,6,6,6,4,5,6,5,5,6,4,5,5,5,3,4,6,4,6,6,4,6,5,3,6,6,6,5,7,5,3,6,3,6,4,7,5,4,5,6,7
female,men,20.4,6,3,2,3,5,3,4,7,5,6,6,4,4,2,3,4,3,3,3,5,5,6,4,4,2,2,3,5,6,6,4,3,3,6,5,5,3,5,2,6,2,3,5,4,3,3,4,1,2,5
female,men,18.7,4,3,3,4,2,3,2,5,7,4,4,3,3,4,3,6,2,4,5,3,5,5,4,5,3,1,2,5,6,4,4,2,3,5,4,6,4,4,2,3,4,4,4,3,3,2,4,2,7,6
female,men,19,3,6,2,3,4,5,5,2,3,3,4,3,2,4,3,5,2,3,3,2,4,3,3,5,2,3,3,2,4,6,3,3,2,7,4,4,4,3,3,3,4,3,2,2,4,3,2,3,4,5
female,men,19.6,5,3,3,5,4,4,2,5,7,5,7,5,5,3,4,7,1,4,6,3,7,4,4,6,6,5,1,6,7,5,6,4,2,6,2,4,2,5,4,5,5,5,5,6,3,4,6,6,6,7
female,men,21.7,5,5,5,6,5,5,4,7,6,5,6,5,4,6,6,6,4,6,5,5,6,6,6,6,4,6,3,4,7,6,6,4,4,6,6,6,5,5,4,5,5,4,6,3,4,4,5,4,6,6
female,men,19.1,5,3,2,3,3,6,4,5,5,4,6,4,3,3,5,6,3,5,4,3,4,7,4,7,2,1,1,6,5,4,7,1,3,6,1,7,3,5,3,4,7,3,3,3,5,3,4,3,7,5
female,men,25.4,3,4,4,4,3,4,4,5,4,3,5,3,5,4,4,6,3,4,4,3,4,5,3,4,3,2,3,5,4,4,4,3,4,4,2,4,4,5,2,3,3,3,4,4,3,4,3,3,5,3
female,men,30.4,3,3,5,4,5,5,2,5,4,4,6,3,5,4,4,5,2,4,4,5,5,4,4,4,3,2,1,5,5,5,5,2,2,4,4,4,3,5,3,3,4,6,5,3,3,3,4,4,3,5
female,men,26.2,5,2,5,4,2,3,1,6,2,4,5,4,2,4,3,4,2,5,2,4,5,3,6,6,2,2,2,4,5,6,3,2,1,6,1,6,5,5,2,2,4,2,5,1,1,2,5,3,6,6
female,men,33.3,4,3,3,4,3,4,3,4,4,4,4,4,4,4,3,5,2,4,4,4,4,5,4,6,3,2,2,5,5,3,6,2,3,3,4,4,4,4,2,3,4,3,4,3,3,3,4,3,6,5
female,men,30.8,5,3,4,3,3,4,3,3,5,4,5,3,3,5,2,4,2,4,4,3,4,4,3,4,2,2,2,5,3,3,3,2,3,4,4,4,2,4,2,3,4,4,3,1,3,3,2,1,4,5
female,men,21.3,7,1,3,6,1,3,1,5,7,6,2,2,2,3,5,4,4,2,5,6,4,4,1,2,3,1,6,1,5,5,4,6,6,6,3,7,4,4,2,3,5,3,5,7,5,6,5,5,1,2
